software,count
BME-FW-Google-Earth Pro-7.3.0.3832-SS,0
BME-SW-Cisco-Jabber-11.8.3 Build 51659,0
BME-FW-Alertus-Alertus-3.5.7.228,0
BME-SW-AdmissionPros-Enterprise System-4.3.203-SS,0
BME-FW-Alertus-Alertus-3.5.7.228-SS,0
BME-SW-National Instruments-Labview with Drivers-2017-SS,0
BME-SW-Adobe-Acrobat Professional-10.1,12
BME-SW-Adobe-After Effects User License-2015-SS,0
BME-FW-Microsoft-.NET Framework-4.5-SS,0
BME-SW-Enthought-Canopy-1.1.0-SS,0
BME-SW-SolidWorks-SolidWorks-2011SP4,0
BME-FW-Adobe-Shockwave Player-AUTO-SS,0
BME-SW-Design Science-Mathtype-6.9b,0
BME-SW-Cisco-WebEx Meetings-27.32.200.701,0
BME-SW-SolidWorks-SolidWorks-2017 SP3,4
BME-FW-NotepadPP-NotepadPP-6.7.4,
BME-SW-Microsoft-Visual Studio Ultimate-2013-SS,0
BME-FW-Oracle-Java JRE-8u141,0
BME-SW-Cisco-WebEx Meetings-29.13.41.30001,0
BME-FW-RStudio-RStudio-0.98.1028,0
BME-SW-Hyland-Unity Client-16.0,0
BME-FW-Adobe-Shockwave Player-12.1.9.159,0
BME-SW-TurningTech-TurningPoint-4.3.1.1109,0
BME-SW-Hyland-Unity Client-16.0-SS,0
BME-FW-JAM Software-TreeSize Free-2.7,0
BME-SW-Cisco-Network Recording Player-29.13.40.30001,0
BME-FW-Google-Chrome-AUTO,59
BME-FW-Alertus-Alertus-3.3.9.212,0
BME-SW-Cisco-Jabber-9.0.5,0
BME-SW-Microsoft-Visio Professional-2013-SS,0
BME-SW-Autodesk-AutoCAD Civil 3D-2016-SS,0
BME-SW-IBM-ILOG CPLEX-12.6.1,0
BME-FW-Microsoft-Powershell-3.0-SS,0
BME-SW-NAG-NAG Fortran Compiler-6.0-SS,0
BME-SW-SolidWorks-SolidWorks-2016SP3-SS,0
BME-FW-Pidgin-Pidgin-2.10.11-SS,0
BME-FW-Project R-R-3.4.1-SS,0
BME-FW-VMware-VMware Tools-10.0.6-SS,0
BME-FW-Google-Chrome-AUTO-SS,0
BME-SW-Sonic Foundry-Mediasite Desktop Recorder-2.1.0,0
BME-SW-IBM-SPSS Amos-23,0
BME-FW-Google-Drive File Stream-AUTO,
BME-SW-PaperCut-PaperCut MF Client WolfCopy-AUTO,0
BME-FW-Continuum-Anaconda-5.1.0,0
BME-SW-Starnet-XWin32-2014.32-SS,0
BME-SW-Wolfram Research-Mathematica-10.4-SS,0
BME-FW-Google-Drive File Stream-AUTO-SS,0
BME-SW-PaperCut-PaperCut MF Client WolfCopy-AUTO-SS,0
BME-FW-Continuum-Anaconda-5.1.0-SS,0
BME-SW-Auristor-Client-0.359,0
BME-SW-SolidWorks-Flow Simulation-2010 SP4.0,0
BME-SW-Adobe-After Effects-2015-SS,0
BME-SW-Auristor-Client-0.359-SS,0
